,date,input_file,git_hashes,n_node,n_mpi_per_node,n_omp,rep,start_date,time_initialization,step_time
60,2018-10-14 08:05:31.620113,automated_test_1_uniform_rest_32ppc,picsar:708fc9138d8f765b56f2e0f504bc2356b749fb9a amrex:ea1b5802d7ec0dc44e589c32f4567665e555185d warpx:0cfcdf169fa7e915b8225c9f3c6c4060f69f7ea5 ,8,8,8,0,2018_10_13_11_17_53,6.989999999999998,3.074
61,2018-10-14 08:05:31.664696,automated_test_1_uniform_rest_32ppc,picsar:708fc9138d8f765b56f2e0f504bc2356b749fb9a amrex:ea1b5802d7ec0dc44e589c32f4567665e555185d warpx:0cfcdf169fa7e915b8225c9f3c6c4060f69f7ea5 ,8,8,8,1,2018_10_13_11_17_53,7.040000000000003,3.034
62,2018-10-14 08:05:31.712530,automated_test_2_uniform_rest_1ppc,picsar:708fc9138d8f765b56f2e0f504bc2356b749fb9a amrex:ea1b5802d7ec0dc44e589c32f4567665e555185d warpx:0cfcdf169fa7e915b8225c9f3c6c4060f69f7ea5 ,8,8,8,0,2018_10_13_11_17_53,4.079999999999998,3.6109999999999998
63,2018-10-14 08:05:31.761077,automated_test_2_uniform_rest_1ppc,picsar:708fc9138d8f765b56f2e0f504bc2356b749fb9a amrex:ea1b5802d7ec0dc44e589c32f4567665e555185d warpx:0cfcdf169fa7e915b8225c9f3c6c4060f69f7ea5 ,8,8,8,1,2018_10_13_11_17_53,4.640000000000001,3.6229999999999998
64,2018-10-14 08:05:31.808942,automated_test_3_uniform_drift_4ppc,picsar:708fc9138d8f765b56f2e0f504bc2356b749fb9a amrex:ea1b5802d7ec0dc44e589c32f4567665e555185d warpx:0cfcdf169fa7e915b8225c9f3c6c4060f69f7ea5 ,8,8,8,0,2018_10_13_11_17_53,6.740000000000002,3.343
65,2018-10-14 08:05:31.856243,automated_test_3_uniform_drift_4ppc,picsar:708fc9138d8f765b56f2e0f504bc2356b749fb9a amrex:ea1b5802d7ec0dc44e589c32f4567665e555185d warpx:0cfcdf169fa7e915b8225c9f3c6c4060f69f7ea5 ,8,8,8,1,2018_10_13_11_17_53,6.600000000000001,3.468
66,2018-10-14 08:05:31.919363,automated_test_4_labdiags_2ppc,picsar:708fc9138d8f765b56f2e0f504bc2356b749fb9a amrex:ea1b5802d7ec0dc44e589c32f4567665e555185d warpx:0cfcdf169fa7e915b8225c9f3c6c4060f69f7ea5 ,8,8,8,0,2018_10_13_11_17_53,0.8579999999999988,0.17094
67,2018-10-14 08:05:31.979625,automated_test_4_labdiags_2ppc,picsar:708fc9138d8f765b56f2e0f504bc2356b749fb9a amrex:ea1b5802d7ec0dc44e589c32f4567665e555185d warpx:0cfcdf169fa7e915b8225c9f3c6c4060f69f7ea5 ,8,8,8,1,2018_10_13_11_17_53,0.6679999999999993,0.17382
68,2018-10-14 08:05:32.030570,automated_test_5_loadimbalance,picsar:708fc9138d8f765b56f2e0f504bc2356b749fb9a amrex:ea1b5802d7ec0dc44e589c32f4567665e555185d warpx:0cfcdf169fa7e915b8225c9f3c6c4060f69f7ea5 ,8,8,8,0,2018_10_13_11_17_53,6.540000000000006,3.3909999999999996
69,2018-10-14 08:05:32.081177,automated_test_5_loadimbalance,picsar:708fc9138d8f765b56f2e0f504bc2356b749fb9a amrex:ea1b5802d7ec0dc44e589c32f4567665e555185d warpx:0cfcdf169fa7e915b8225c9f3c6c4060f69f7ea5 ,8,8,8,1,2018_10_13_11_17_53,6.210000000000001,3.336
70,2018-10-14 08:05:32.130785,automated_test_6_output_2ppc,picsar:708fc9138d8f765b56f2e0f504bc2356b749fb9a amrex:ea1b5802d7ec0dc44e589c32f4567665e555185d warpx:0cfcdf169fa7e915b8225c9f3c6c4060f69f7ea5 ,8,8,8,0,2018_10_13_11_17_53,4.9932568,3.071
71,2018-10-14 08:05:32.221028,automated_test_6_output_2ppc,picsar:708fc9138d8f765b56f2e0f504bc2356b749fb9a amrex:ea1b5802d7ec0dc44e589c32f4567665e555185d warpx:0cfcdf169fa7e915b8225c9f3c6c4060f69f7ea5 ,8,8,8,1,2018_10_13_11_17_53,4.7860085,2.697
72,2018-10-14 08:05:32.271462,automated_test_1_uniform_rest_32ppc,picsar:708fc9138d8f765b56f2e0f504bc2356b749fb9a amrex:ea1b5802d7ec0dc44e589c32f4567665e555185d warpx:0cfcdf169fa7e915b8225c9f3c6c4060f69f7ea5 ,64,8,8,0,2018_10_13_11_17_53,6.739999999999998,3.088
73,2018-10-14 08:05:32.319262,automated_test_1_uniform_rest_32ppc,picsar:708fc9138d8f765b56f2e0f504bc2356b749fb9a amrex:ea1b5802d7ec0dc44e589c32f4567665e555185d warpx:0cfcdf169fa7e915b8225c9f3c6c4060f69f7ea5 ,64,8,8,1,2018_10_13_11_17_53,6.77,3.105
